_H:	$name	|red	|green	|blue	$hexcolor
_D:	"SpringGreen1"	0	255	127	"#00ff7f"
_D:	"SpringGreen2"	0	238	118	"#00ee76"
_D:	"SpringGreen3"	0	205	102	"#00cd66"
_D:	"SpringGreen4"	0	139	69	"#008b45"
_D:	"green1"	0	255	0	"#00ff00"
_D:	"green2"	0	238	0	"#00ee00"
_D:	"green3"	0	205	0	"#00cd00"
_D:	"green4"	0	139	0	"#008b00"
_D:	"chartreuse1"	127	255	0	"#7fff00"
_D:	"chartreuse2"	118	238	0	"#76ee00"
_D:	"chartreuse3"	102	205	0	"#66cd00"
_D:	"chartreuse4"	69	139	0	"#458b00"
_D:	"OliveDrab1"	192	255	62	"#c0ff3e"
_D:	"OliveDrab2"	179	238	58	"#b3ee3a"
_D:	"OliveDrab3"	154	205	50	"#9acd32"
_D:	"OliveDrab4"	105	139	34	"#698b22"
_D:	"DarkOliveGreen1"	202	255	112	"#caff70"
_D:	"DarkOliveGreen2"	188	238	104	"#bcee68"
_D:	"DarkOliveGreen3"	162	205	90	"#a2cd5a"
_D:	"DarkOliveGreen4"	110	139	61	"#6e8b3d"
_D:	"khaki1"	255	246	143	"#fff68f"
_D:	"khaki2"	238	230	133	"#eee685"
_D:	"khaki3"	205	198	115	"#cdc673"
_D:	"khaki4"	139	134	78	"#8b864e"
_D:	"LightGoldenrod1"	255	236	139	"#ffec8b"
_D:	"LightGoldenrod2"	238	220	130	"#eedc82"
_D:	"LightGoldenrod3"	205	190	112	"#cdbe70"
_D:	"LightGoldenrod4"	139	129	76	"#8b814c"
_D:	"LightYellow1"	255	255	224	"#ffffe0"
_D:	"LightYellow2"	238	238	209	"#eeeed1"
_D:	"LightYellow3"	205	205	180	"#cdcdb4"
_D:	"LightYellow4"	139	139	122	"#8b8b7a"
_D:	"yellow1"	255	255	0	"#ffff00"
_D:	"yellow2"	238	238	0	"#eeee00"
_D:	"yellow3"	205	205	0	"#cdcd00"
_D:	"yellow4"	139	139	0	"#8b8b00"
_D:	"gold1"	255	215	0	"#ffd700"
_D:	"gold2"	238	201	0	"#eec900"
_D:	"gold3"	205	173	0	"#cdad00"
_D:	"gold4"	139	117	0	"#8b7500"
_D:	"goldenrod1"	255	193	37	"#ffc125"
_D:	"goldenrod2"	238	180	34	"#eeb422"
_D:	"goldenrod3"	205	155	29	"#cd9b1d"
_D:	"goldenrod4"	139	105	20	"#8b6914"
_D:	"DarkGoldenrod1"	255	185	15	"#ffb90f"
_D:	"DarkGoldenrod2"	238	173	14	"#eead0e"
_D:	"DarkGoldenrod3"	205	149	12	"#cd950c"
_D:	"DarkGoldenrod4"	139	101	8	"#8b6508"
_D:	"RosyBrown1"	255	193	193	"#ffc1c1"
_D:	"RosyBrown2"	238	180	180	"#eeb4b4"
_D:	"RosyBrown3"	205	155	155	"#cd9b9b"
_D:	"RosyBrown4"	139	105	105	"#8b6969"
_D:	"IndianRed1"	255	106	106	"#ff6a6a"
_D:	"IndianRed2"	238	99	99	"#ee6363"
_D:	"IndianRed3"	205	85	85	"#cd5555"
_D:	"IndianRed4"	139	58	58	"#8b3a3a"
_D:	"sienna1"	255	130	71	"#ff8247"
_D:	"sienna2"	238	121	66	"#ee7942"
_D:	"sienna3"	205	104	57	"#cd6839"
_D:	"sienna4"	139	71	38	"#8b4726"
_D:	"burlywood1"	255	211	155	"#ffd39b"
_D:	"burlywood2"	238	197	145	"#eec591"
_D:	"burlywood3"	205	170	125	"#cdaa7d"
_D:	"burlywood4"	139	115	85	"#8b7355"
_D:	"wheat1"	255	231	186	"#ffe7ba"
_D:	"wheat2"	238	216	174	"#eed8ae"
_D:	"wheat3"	205	186	150	"#cdba96"
_D:	"wheat4"	139	126	102	"#8b7e66"
_D:	"tan1"	255	165	79	"#ffa54f"
_D:	"tan2"	238	154	73	"#ee9a49"
_D:	"tan3"	205	133	63	"#cd853f"
_D:	"tan4"	139	90	43	"#8b5a2b"
_D:	"chocolate1"	255	127	36	"#ff7f24"
_D:	"chocolate2"	238	118	33	"#ee7621"
_D:	"chocolate3"	205	102	29	"#cd661d"
_D:	"chocolate4"	139	69	19	"#8b4513"
_D:	"firebrick1"	255	48	48	"#ff3030"
_D:	"firebrick2"	238	44	44	"#ee2c2c"
_D:	"firebrick3"	205	38	38	"#cd2626"
_D:	"firebrick4"	139	26	26	"#8b1a1a"
_D:	"brown1"	255	64	64	"#ff4040"
_D:	"brown2"	238	59	59	"#ee3b3b"
_D:	"brown3"	205	51	51	"#cd3333"
_D:	"brown4"	139	35	35	"#8b2323"
_D:	"salmon1"	255	140	105	"#ff8c69"
_D:	"salmon2"	238	130	98	"#ee8262"
_D:	"salmon3"	205	112	84	"#cd7054"
_D:	"salmon4"	139	76	57	"#8b4c39"
_D:	"LightSalmon1"	255	160	122	"#ffa07a"
_D:	"LightSalmon2"	238	149	114	"#ee9572"
_D:	"LightSalmon3"	205	129	98	"#cd8162"
_D:	"LightSalmon4"	139	87	66	"#8b5742"
_D:	"orange1"	255	165	0	"#ffa500"
_D:	"orange2"	238	154	0	"#ee9a00"
_D:	"orange3"	205	133	0	"#cd8500"
_D:	"orange4"	139	90	0	"#8b5a00"
_D:	"DarkOrange1"	255	127	0	"#ff7f00"
_D:	"DarkOrange2"	238	118	0	"#ee7600"
_D:	"DarkOrange3"	205	102	0	"#cd6600"
_D:	"DarkOrange4"	139	69	0	"#8b4500"
_D:	"coral1"	255	114	86	"#ff7256"
_D:	"coral2"	238	106	80	"#ee6a50"
_D:	"coral3"	205	91	69	"#cd5b45"
_D:	"coral4"	139	62	47	"#8b3e2f"
_D:	"tomato1"	255	99	71	"#ff6347"
_D:	"tomato2"	238	92	66	"#ee5c42"
_D:	"tomato3"	205	79	57	"#cd4f39"
_D:	"tomato4"	139	54	38	"#8b3626"
_D:	"OrangeRed1"	255	69	0	"#ff4500"
_D:	"OrangeRed2"	238	64	0	"#ee4000"
_D:	"OrangeRed3"	205	55	0	"#cd3700"
_D:	"OrangeRed4"	139	37	0	"#8b2500"
_D:	"red1"	255	0	0	"#ff0000"
_D:	"red2"	238	0	0	"#ee0000"
_D:	"red3"	205	0	0	"#cd0000"
_D:	"red4"	139	0	0	"#8b0000"
_D:	"DeepPink1"	255	20	147	"#ff1493"
_D:	"DeepPink2"	238	18	137	"#ee1289"
_D:	"DeepPink3"	205	16	118	"#cd1076"
_D:	"DeepPink4"	139	10	80	"#8b0a50"
_D:	"HotPink1"	255	110	180	"#ff6eb4"
_D:	"HotPink2"	238	106	167	"#ee6aa7"
_D:	"HotPink3"	205	96	144	"#cd6090"
_D:	"HotPink4"	139	58	98	"#8b3a62"
_D:	"pink1"	255	181	197	"#ffb5c5"
_D:	"pink2"	238	169	184	"#eea9b8"
_D:	"pink3"	205	145	158	"#cd919e"
_D:	"pink4"	139	99	108	"#8b636c"
